sq_thr,sq_lb,vol_x,mode,n,avg_ret,win_rate,median_ret,avg_hold
15,5,1.5,open_breakout,213,0.14,34.7,-1.12,4.7
15,5,2.0,any,174,0.3,37.4,-0.89,4.9
15,5,2.0,shenglongquan,74,0.77,39.2,-0.69,5.9
15,5,2.0,open_breakout,136,-0.07,33.8,-1.12,4.4
15,10,1.0,any,246,0.1,35.8,-0.95,5.1
15,10,1.0,shenglongquan,67,1.02,37.3,-0.87,6.0
15,10,1.0,open_breakout,241,0.01,35.7,-0.97,5.0
15,10,1.5,any,204,0.16,34.3,-1.09,5.0
15,10,1.5,shenglongquan,67,1.02,37.3,-0.87,6.0
15,10,1.5,open_breakout,191,0.01,33.5,-1.12,4.9
15,10,2.0,any,158,0.35,34.8,-0.92,5.0
15,10,2.0,shenglongquan,67,1.02,37.3,-0.87,6.0
15,10,2.0,open_breakout,124,-0.03,31.5,-1.17,4.5
15,15,1.0,any,221,-0.16,35.3,-1.1,5.0
15,15,1.0,shenglongquan,60,0.28,36.7,-0.9,6.1
15,15,1.0,open_breakout,216,-0.26,35.2,-1.11,5.0
15,15,1.5,any,181,-0.11,33.7,-1.11,5.0
15,15,1.5,shenglongquan,60,0.28,36.7,-0.9,6.1
15,15,1.5,open_breakout,168,-0.31,32.7,-1.23,4.8
15,15,2.0,any,143,-0.05,34.3,-1.08,5.0
15,15,2.0,shenglongquan,60,0.28,36.7,-0.9,6.1
15,15,2.0,open_breakout,111,-0.59,30.6,-1.41,4.4
