ticker,signal_date,signal_type,prev_date,prev_close,prev_high,prev_low,prev_volume,prev_vol_ma5,today_open,today_open_gap_pct,stop_loss
2754,2026-05-15,bullish_entry,2026-05-14,69.5,72.3,69.0,77572.0,62370.6,71.2,0.0245,69.0
2801,2026-05-15,bullish_entry,2026-05-14,20.4,20.6,20.4,25145424.0,23046319.6,20.45,0.0025,20.4
2816,2026-05-15,bullish_entry,2026-05-14,31.25,32.3,31.2,580579.0,354400.6,31.5,0.008,31.2
2820,2026-05-15,bullish_entry,2026-05-14,16.75,16.95,16.75,1838938.0,1661436.8,16.8,0.003,16.75
2832,2026-05-15,bullish_entry,2026-05-14,53.9,55.1,53.8,495280.0,335322.8,54.7,0.0148,53.8
2838,2026-05-15,bullish_entry,2026-05-14,20.15,20.45,20.15,2328531.0,1828905.4,20.2,0.0025,20.15
2845,2026-05-15,bullish_entry,2026-05-14,12.05,12.15,12.05,13567368.0,10126326.0,12.05,0.0,12.05
2849,2026-05-15,bullish_entry,2026-05-14,13.15,13.5,13.15,249976.0,151230.2,13.35,0.0152,13.15
2883,2026-05-15,bullish_entry,2026-05-14,22.1,22.9,22.1,58899047.0,55813199.4,22.25,0.0068,22.1
2887,2026-05-15,bullish_entry,2026-05-14,23.1,23.55,23.0,118169834.0,116968250.2,23.4,0.013,23.0
2901,2026-05-15,bullish_entry,2026-05-14,22.9,23.35,22.9,49659.0,28711.6,23.05,0.0066,22.9
2913,2026-05-15,bullish_entry,2026-05-14,10.95,11.15,10.95,1802173.0,1625807.6,11.0,0.0046,10.95
2915,2026-05-15,bullish_entry,2026-05-14,42.75,43.5,42.7,1833671.0,1707475.4,42.9,0.0035,42.7
2945,2026-05-15,bullish_entry,2026-05-14,40.7,41.45,40.7,29339.0,22389.4,41.1,0.0098,40.7
3011,2026-05-15,bullish_entry,2026-05-14,12.6,13.4,12.6,1868054.0,1196772.4,12.75,0.0119,12.6
3017,2026-05-15,bullish_entry,2026-05-14,2555.0,2775.0,2555.0,7168071.0,6117627.0,2690.0,0.0528,2555.0
3027,2026-05-15,bullish_entry,2026-05-14,17.55,18.45,17.5,477327.0,411044.0,17.6,0.0028,17.5
3029,2026-05-15,bullish_entry,2026-05-14,97.2,99.5,97.1,1256301.0,1126104.4,98.1,0.0093,97.1
3043,2026-05-15,bullish_entry,2026-05-14,19.55,19.85,19.25,206117.0,159920.4,19.65,0.0051,19.25
3044,2026-05-15,bullish_entry,2026-05-14,512.0,542.0,506.0,9519256.0,7641180.4,512.0,0.0,506.0
3050,2026-05-15,bullish_entry,2026-05-14,12.15,12.3,12.0,920516.0,797479.2,12.15,0.0,12.0
3060,2026-05-15,bullish_entry,2026-05-14,27.8,29.0,27.65,2183668.0,2052342.0,28.2,0.0144,27.65
3073,2026-05-15,bullish_entry,2026-05-14,20.0,21.5,19.8,427346.0,228666.4,21.6,0.08,19.8
3081,2026-05-15,bullish_entry,2026-05-14,2945.0,2980.0,2815.0,3194779.0,3053001.8,3000.0,0.0187,2815.0
3083,2026-05-15,bullish_entry,2026-05-14,26.15,26.5,26.0,156588.0,131344.0,26.45,0.0115,26.0
3088,2026-05-15,bullish_entry,2026-05-14,129.0,136.0,127.0,2550269.0,2197563.0,131.5,0.0194,127.0
3090,2026-05-15,bullish_entry,2026-05-14,129.5,134.5,126.0,28643066.0,20432689.0,133.5,0.0309,126.0
3092,2026-05-15,bullish_entry,2026-05-14,29.35,30.2,29.15,610619.0,548547.4,30.2,0.029,29.15
3093,2026-05-15,bullish_entry,2026-05-14,51.8,54.6,51.1,2059069.0,1730605.0,52.2,0.0077,51.1
3147,2026-05-15,bullish_entry,2026-05-14,172.5,175.5,168.0,403900.0,305748.6,177.5,0.029,168.0
3164,2026-05-15,bullish_entry,2026-05-14,17.2,17.3,17.05,164406.0,95284.4,17.25,0.0029,17.05
3230,2026-05-15,bullish_entry,2026-05-14,31.25,32.5,31.1,639533.0,565185.8,31.6,0.0112,31.1
3288,2026-05-15,bullish_entry,2026-05-14,14.95,15.5,14.9,16864.0,11362.2,15.0,0.0033,14.9
3289,2026-05-15,bullish_entry,2026-05-14,168.0,178.0,164.0,6258246.0,5011755.4,169.0,0.006,164.0
3305,2026-05-15,bullish_entry,2026-05-14,126.0,134.5,125.0,15009412.0,14830456.4,128.0,0.0159,125.0
3321,2026-05-15,bullish_entry,2026-05-14,15.9,16.5,15.9,377925.0,363642.0,16.25,0.022,15.9
3322,2026-05-15,bullish_entry,2026-05-14,13.55,14.2,13.35,4011705.0,2080998.4,13.7,0.0111,13.35
3324,2026-05-15,bullish_entry,2026-05-14,1015.0,1095.0,1015.0,4282773.0,3324424.8,1040.0,0.0246,1015.0
3325,2026-05-15,bullish_entry,2026-05-14,12.05,12.9,11.95,436372.0,379400.0,12.1,0.0041,11.95
3376,2026-05-15,bullish_entry,2026-05-14,196.5,202.5,195.0,5005157.0,4295746.4,198.0,0.0076,195.0
3379,2026-05-15,bullish_entry,2026-05-14,34.15,34.95,34.15,383941.0,331469.8,34.15,0.0,34.15
