ticker,signal_date,close,bb_upper,bb_middle,bb_lower,bandwidth_prev,bandwidth_today,is_ideal_bandwidth,volume_ratio_prev,ma60_slope,second_buy_estimate,stop_loss,entry_note
4545,2026-05-19,31.45,31.394717709802826,30.154999999999994,28.915282290197162,0.075131928143547,0.08222302834042994,True,4.429541246657067,-0.010887444192057671,31.080770532704797,31.394717709802826,突破上軌 close=31.45>31.39; prev_bw=0.075(理想); vol×4.43
4729,2026-05-19,25.05,23.02408399226329,20.5,17.97591600773671,0.14006315418429655,0.24625209680617458,False,3.765368831959294,0.001539146988537743,22.793843152340656,23.02408399226329,突破上軌 close=25.05>23.02; prev_bw=0.140; vol×3.77
4771,2026-05-19,198.5,196.4004508063461,188.775,181.1495491936539,0.06916925628862543,0.08078877824231062,True,7.573709273822899,0.003957190394819676,194.43644629828265,196.4004508063461,突破上軌 close=198.50>196.40; prev_bw=0.069(理想); vol×7.57
4924,2026-05-19,11.8,11.516421535490196,10.61,9.703578464509803,0.14510503750214215,0.17086174090295875,False,2.987479370967962,0.001586873383372378,11.401257320135294,11.516421535490196,突破上軌 close=11.80>11.52; prev_bw=0.145; vol×2.99
5227,2026-05-19,25.5,24.07051664573591,21.675,19.27948335426409,0.15564977032056204,0.22103959822245994,False,3.3340214638677046,-0.0108261100300725,23.82981147927855,24.07051664573591,突破上軌 close=25.50>24.07; prev_bw=0.156; vol×3.33
5236,2026-05-19,179.0,174.16552228440355,163.85,153.53447771559644,0.11244758045699904,0.1259142176918347,False,7.624190243599561,0.027438474035742066,172.42386706155952,174.16552228440355,突破上軌 close=179.00>174.17; prev_bw=0.112; vol×7.62
5258,2026-05-19,60.0,59.262168920567554,51.5225,43.78283107943245,0.26218385362609103,0.3004384073198138,False,2.543005033819991,0.0021330624682580623,58.669547231361875,59.262168920567554,突破上軌 close=60.00>59.26; prev_bw=0.262; vol×2.54
5321,2026-05-19,29.3,26.911677299451963,23.417499999999997,19.92332270054803,0.19403980928558823,0.2984244517520629,False,3.236179726481722,-0.011277183060661056,26.642560526457444,26.911677299451963,突破上軌 close=29.30>26.91; prev_bw=0.194; vol×3.24
5488,2026-05-19,10.7,10.635129542436538,10.114,9.592870457563464,0.09388399014486762,0.10305112565484215,True,5.1390983043355005,0.005262018550280523,10.528778247012172,10.635129542436538,突破上軌 close=10.70>10.64; prev_bw=0.094(理想); vol×5.14
5538,2026-05-19,35.6,35.12045728189959,32.147499999999994,29.174542718100394,0.15794416799853908,0.1849572925981553,False,1.484690759251592,0.009137681547778387,34.7692527090806,35.12045728189959,突破上軌 close=35.60>35.12; prev_bw=0.158; vol×1.48
