ticker,trade_date,open,high,low,close,volume,ma20,ma60,ma240,vol_ma20,vol_ratio_20,is_attention_stock,is_disposition_stock,is_usable,prev_close,prev_open,prev_high,prev_low,prior_high_60,prior_high_20,prior_low_60,prior_low_20,avg_volume_20,volume_ratio,range_pct,body_abs,body_pct,close_pos,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,ma60_slope_5d,ma60_rolling_off_close,pre_breakout_trend_days,overhead_supply_layer,unfilled_gap_down_count_240d,is_red,is_black,is_doji,new_low_count_60d,is_in_breakdown_pattern,higher_low_count_60d,upper_band_spread_60d,is_pattern_breakout,attack_intensity,score_attack_quality,score_overhead_supply,score_ma60_rolloff,score_shadow_position,score_pattern_breakout,score_attack_intensity,scanner_score
2867,2026-02-26,8.2,8.35,8.2,8.26,32736592,7.9784999999999995,7.794333333333333,6.26625,16947833.25,1.9316092810861234,0.0,,1,8.21,8.14,8.24,8.08,8.24,8.24,7.12,7.7,15704751.2,2.084502427520151,0.018292682926829312,0.0600000000000005,0.0073170731707317685,0.40000000000000235,0.08999999999999986,0.0,1.4999999999999851,0.0,0.010588642060679554,7.16,20,0.0,0.0,True,False,False,1.0,False,35.0,0.021844660194174723,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
2867,2025-10-27,7.39,7.39,7.39,7.39,50921435,6.206,5.857833333333334,,19220021.7,2.649395291785753,0.0,,1,6.72,6.84,6.84,6.5,6.84,6.84,5.04,5.65,16983366.85,2.998312139739241,0.0,0.0,0.0,,0.0,0.0,,,0.022250014542493313,5.09,20,0.0,0.0,False,False,False,0.0,False,35.0,0.03216374269005844,True,4,75.0,0.0,10.0,0.0,20.0,20.0,125.0
8299,2025-12-31,1470.0,1470.0,1400.0,1450.0,14045797,1169.0,1083.65,661.9166666666666,8103120.95,1.7333811363139038,0.0,,1,1340.0,1340.0,1365.0,1330.0,1390.0,1365.0,769.0,1015.0,7683971.6,1.827934528024544,0.047619047619047616,20.0,0.013605442176870748,0.7142857142857143,0.0,50.0,0.0,2.5,0.051644939022417846,796.0,20,0.0,0.0,False,True,False,0.0,False,34.0,0.0,True,4,75.0,0.0,10.0,0.0,20.0,20.0,125.0
2108,2026-05-11,29.25,29.95,28.7,29.3,3343272,26.8,25.876666666666665,24.311458333333334,2034602.05,1.64320683742553,,,1,28.5,27.5,29.25,27.3,29.25,29.25,23.25,25.55,1898229.9,1.7612576853836304,0.042735042735042736,0.05000000000000071,0.0017094017094017337,0.48000000000000115,0.6499999999999986,0.5500000000000007,12.999999999999787,10.999999999999858,0.011399908800729719,23.7,20,0.0,0.0,True,False,True,0.0,False,33.0,0.03931623931623927,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
2481,2026-03-17,102.0,106.5,98.4,104.0,46186299,90.37,87.235,67.53375,21438834.3,2.1543288386719794,0.0,,1,99.5,100.0,101.5,94.3,102.5,101.5,76.1,82.4,20591365.65,2.242993484990152,0.07941176470588229,2.0,0.0196078431372549,0.6913580246913578,2.5,3.5999999999999943,1.25,1.7999999999999972,0.008477678657443866,91.2,17,0.0,0.0,True,False,False,3.0,False,30.0,0.04097560975609759,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
3702,2025-07-03,73.0,74.8,72.7,74.4,9984134,70.05,67.36999999999999,,6103226.05,1.6358781271095146,0.0,,1,73.6,73.2,73.7,72.4,73.7,73.7,52.1,65.8,5910878.7,1.689111637496469,0.028767123287671156,1.4000000000000057,0.0191780821917809,0.8095238095238131,0.3999999999999915,0.29999999999999716,0.2857142857142785,0.2142857142857114,0.01440473800441655,56.1,20,0.0,0.0,True,False,False,1.0,False,36.0,0.04613297150610591,True,4,75.0,0.0,10.0,0.0,20.0,20.0,125.0
2451,2026-05-12,352.0,360.0,342.5,351.0,15720639,274.225,248.55833333333334,166.88291666666666,12018340.45,1.308054058328827,1.0,,1,343.5,333.0,343.5,332.5,343.5,343.5,191.5,239.0,11503780.55,1.366562838335785,0.04971590909090909,1.0,0.002840909090909091,0.4857142857142857,8.0,8.5,8.0,8.5,0.024384380258955174,240.0,20,0.0,0.0,False,True,True,7.0,False,30.0,0.024745269286754003,True,4,75.0,0.0,10.0,0.0,20.0,20.0,125.0
3711,2026-01-06,270.5,273.5,267.0,271.5,29433817,241.9,224.08333333333334,170.71458333333334,20061663.85,1.4671672908127207,0.0,,1,263.5,263.5,264.0,251.5,264.0,264.0,168.5,219.5,19273306.4,1.5271804634413948,0.024029574861367836,1.0,0.0036968576709796672,0.6923076923076923,2.0,3.5,2.0,3.5,0.034748143302420376,174.5,20,0.0,0.0,True,False,True,0.0,False,34.0,0.04734848484848485,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
8150,2026-01-07,53.0,54.0,50.7,53.2,66244764,46.815,41.1975,31.451041666666665,32827351.65,2.017974666561322,0.0,,1,51.5,48.2,52.0,47.65,52.6,52.6,29.55,43.05,31476862.1,2.104554252884057,0.06226415094339617,0.20000000000000284,0.003773584905660431,0.7575757575757582,0.7999999999999972,2.299999999999997,3.999999999999929,11.499999999999822,0.03900716672621396,31.7,20,0.0,0.0,True,False,True,0.0,False,34.0,0.02281368821292781,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
3711,2026-01-02,253.0,264.0,250.0,258.0,24219119,238.1,220.96666666666667,169.89166666666668,19027632.2,1.2728393499218469,0.0,,1,250.5,247.5,255.0,246.0,255.0,255.0,165.0,219.5,18630411.1,1.2999777015119112,0.05533596837944664,5.0,0.019762845849802372,0.5714285714285714,6.0,3.0,1.2,0.6,0.03323851459299387,165.5,20,0.0,0.0,True,False,False,0.0,False,34.0,0.013725490196078431,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
8996,2025-10-09,427.5,438.5,415.0,429.0,10106598,352.7,335.35,,4931680.2,2.0493214462689613,0.0,,1,401.0,405.0,409.0,398.0,425.0,425.0,251.5,309.0,4556113.85,2.2182496602888886,0.05497076023391813,1.5,0.0035087719298245615,0.5957446808510638,9.5,12.5,6.333333333333333,8.333333333333334,0.03737884099814415,265.0,19,0.0,0.0,True,False,True,4.0,False,34.0,0.04,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
6226,2026-03-17,12.15,12.15,12.15,12.15,1790003,9.1715,8.490166666666667,7.396583333333334,609058.6,2.938966792357911,0.0,,1,11.05,11.05,11.05,11.05,11.05,11.05,6.6,8.09,569385.5,3.1437453184178383,0.0,0.0,0.0,,0.0,0.0,,,0.03587042723224276,6.63,20,0.0,0.0,False,False,False,2.0,False,35.0,0.031674208144796503,True,4,75.0,0.0,10.0,0.0,20.0,20.0,125.0
5386,2026-05-06,472.5,481.0,446.0,475.0,5733058,367.8,283.46500000000003,125.10541666666667,2781119.65,2.0614208381865198,,,1,437.5,398.5,437.5,396.0,445.0,437.5,83.3,294.0,2530284.15,2.265776355592316,0.07407407407407407,2.5,0.005291005291005291,0.8285714285714286,6.0,26.5,2.4,10.6,0.1067951688054769,84.7,20,0.0,0.0,True,False,True,0.0,False,35.0,0.0,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
9949,2026-03-11,30.05,30.4,29.7,30.15,99111,27.5325,26.755,20.66125,77741.75,1.2748748259461615,0.0,,1,29.9,29.1,30.0,29.05,30.0,30.0,23.9,25.9,73966.4,1.3399462458629865,0.023294509151414285,0.09999999999999787,0.0033277870216305446,0.6428571428571425,0.25,0.3500000000000014,2.5000000000000533,3.500000000000089,0.014247354288422054,24.0,19,0.0,0.0,True,False,True,1.0,False,40.0,0.05,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
6730,2025-09-12,46.7,50.4,46.9,48.2,47517,44.9,42.49916666666666,,33309.15,1.4265449583672953,0.0,,1,46.9,46.04,47.2,46.05,47.2,47.2,39.7,43.35,32334.0,1.4695676377806643,0.07494646680942184,1.5,0.032119914346895075,0.37142857142857266,2.1999999999999957,-0.19999999999999574,1.466666666666664,-0.1333333333333305,0.027729077242407696,41.15,20,0.0,0.0,True,False,False,0.0,False,32.0,0.022245762711864497,True,2,75.0,0.0,10.0,10.0,20.0,10.0,125.0
