ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
2254,2026-04-21,93.7,2026-04-23,86.1,high_long_black,1,-0.08111,-0.08696
2301,2026-05-07,208.0,2026-05-13,222.0,high_long_black,3,0.067308,0.061458
2301,2026-05-08,210.5,2026-05-13,222.0,high_long_black,2,0.054632,0.048782
2303,2025-05-21,49.45,2025-05-26,47.8,sunrise_attack_end,2,-0.033367,-0.039217
2303,2025-12-17,50.2,2025-12-24,49.9,gap_attack_filled,4,-0.005976,-0.011826
2303,2026-01-07,57.0,2026-01-09,54.4,gap_fill,1,-0.045614,-0.051464
2303,2026-05-04,80.8,2026-05-11,94.7,high_long_black,4,0.17203,0.16618
2303,2026-05-05,88.5,2026-05-11,94.7,high_long_black,3,0.070056,0.064206
2305,2026-03-26,16.3,2026-04-01,16.7,high_long_black,3,0.02454,0.01869
2305,2026-03-27,16.75,2026-04-01,16.7,high_long_black,2,-0.002985,-0.008835
2312,2026-01-13,29.7,2026-01-16,34.6,sunrise_attack_end,2,0.164983,0.159133
2313,2025-12-17,96.0,2025-12-19,93.0,high_long_black,1,-0.03125,-0.0371
2316,2025-12-01,121.0,2025-12-03,110.5,reversal_k.bearish_engulfing,1,-0.086777,-0.092627
2321,2025-08-21,16.0,2025-08-27,19.95,high_long_black,3,0.246875,0.241025
2321,2025-08-22,18.8,2025-08-27,19.95,high_long_black,2,0.06117,0.05532
2323,2025-12-11,11.1,2025-12-16,11.1,sunrise_attack_end,2,0.0,-0.00585
2329,2025-06-04,41.2,2025-06-06,40.9,sunrise_attack_end,1,-0.007282,-0.013132
2329,2025-11-13,50.8,2025-11-17,50.0,breakout_price_break,1,-0.015748,-0.021598
2329,2025-12-26,58.0,2025-12-30,55.8,gap_fill,1,-0.037931,-0.043781
2330,2025-12-29,1515.0,2025-12-31,1520.0,breakout_price_break,1,0.0033,-0.00255
2330,2025-12-31,1555.0,2026-01-08,1660.0,sunrise_attack_end,4,0.067524,0.061674
2330,2026-01-02,1630.0,2026-01-08,1660.0,sunrise_attack_end,3,0.018405,0.012555
2330,2026-01-05,1645.0,2026-01-08,1660.0,sunrise_attack_end,2,0.009119,0.003269
2330,2026-04-14,2065.0,2026-04-17,2055.0,sunrise_attack_end,2,-0.004843,-0.010693
2330,2026-04-15,2080.0,2026-04-17,2055.0,sunrise_attack_end,1,-0.012019,-0.017869
2331,2025-12-12,25.15,2025-12-17,24.0,high_long_black,2,-0.045726,-0.051576
2337,2026-01-02,47.65,2026-01-12,60.0,high_long_black,5,0.259182,0.253332
2337,2026-01-05,49.4,2026-01-12,60.0,high_long_black,4,0.214575,0.208725
2344,2025-09-05,24.65,2025-09-15,26.95,sunrise_attack_end,5,0.093306,0.087456
2344,2025-09-08,24.4,2025-09-15,26.95,sunrise_attack_end,4,0.104508,0.098658
2345,2025-07-28,853.0,2025-07-31,841.0,sunrise_attack_end,2,-0.014068,-0.019918
2345,2026-01-06,1265.0,2026-01-08,1235.0,high_long_black,1,-0.023715,-0.029565
2351,2026-03-24,104.0,2026-03-27,96.9,sunrise_attack_end,2,-0.068269,-0.074119
2356,2026-01-22,54.5,2026-01-26,48.25,reversal_k.bearish_engulfing,1,-0.114679,-0.120529
2360,2026-01-07,922.0,2026-01-12,931.0,sunrise_attack_end,2,0.009761,0.003911
2368,2025-11-12,560.0,2025-11-17,565.0,gap_attack_filled,2,0.008929,0.003079
2369,2026-01-07,27.7,2026-01-09,24.95,reversal_k.bearish_engulfing,1,-0.099278,-0.105128
2369,2026-03-20,35.8,2026-03-24,35.4,high_long_black,1,-0.011173,-0.017023
2376,2025-06-03,289.5,2025-06-09,289.5,sunrise_attack_end,3,0.0,-0.00585
2376,2025-06-04,288.0,2025-06-09,289.5,sunrise_attack_end,2,0.005208,-0.000642
2382,2025-10-03,310.5,2025-10-09,310.0,sunrise_attack_end,2,-0.00161,-0.00746
2382,2025-10-07,307.0,2025-10-09,310.0,sunrise_attack_end,1,0.009772,0.003922
2383,2025-05-08,667.0,2025-05-13,689.0,sunrise_attack_end,2,0.032984,0.027134
2383,2025-05-09,681.0,2025-05-13,689.0,sunrise_attack_end,1,0.011747,0.005897
2383,2025-11-03,1440.0,2025-11-06,1450.0,sunrise_attack_end,2,0.006944,0.001094
2383,2025-11-04,1405.0,2025-11-06,1450.0,sunrise_attack_end,1,0.032028,0.026178
2395,2026-05-04,391.0,2026-05-12,487.0,sunrise_attack_end,5,0.245524,0.239674
2395,2026-05-05,400.5,2026-05-12,487.0,sunrise_attack_end,4,0.21598,0.21013
2399,2026-03-18,31.35,2026-03-24,35.85,sunrise_attack_end,3,0.143541,0.137691
2402,2025-07-16,43.1,2025-07-18,41.05,high_long_black,1,-0.047564,-0.053414
2402,2025-08-11,46.45,2025-08-21,60.0,reversal_k.bearish_engulfing,7,0.291712,0.285862
2402,2025-12-10,68.0,2025-12-12,63.5,high_long_black,1,-0.066176,-0.072026
2408,2025-06-04,50.1,2025-06-09,52.8,sunrise_attack_end,2,0.053892,0.048042
2413,2026-02-25,57.7,2026-03-02,53.6,sunrise_attack_end,1,-0.071057,-0.076907
2414,2025-05-12,43.2,2025-05-15,42.2,sunrise_attack_end,2,-0.023148,-0.028998
2414,2025-05-13,41.3,2025-05-15,42.2,sunrise_attack_end,1,0.021792,0.015942
2414,2025-07-10,45.5,2025-07-15,46.3,gap_attack_filled,2,0.017582,0.011732
2414,2025-07-11,47.7,2025-07-15,46.3,gap_attack_filled,1,-0.02935,-0.0352
2414,2026-05-06,49.3,2026-05-12,48.15,gap_attack_filled,3,-0.023327,-0.029177
2415,2026-03-17,30.0,2026-03-20,29.6,gap_attack_filled,2,-0.013333,-0.019183
2419,2026-04-08,39.5,2026-04-10,36.95,high_long_black,1,-0.064557,-0.070407
2421,2025-07-17,115.0,2025-07-22,113.5,sunrise_attack_end,2,-0.013043,-0.018893
2421,2025-10-16,143.0,2025-10-20,135.0,high_long_black,1,-0.055944,-0.061794
2425,2025-05-13,39.6,2025-05-15,39.6,sunrise_attack_end,1,0.0,-0.00585
2427,2025-08-05,33.15,2025-08-07,32.8,gap_attack_filled,1,-0.010558,-0.016408
2428,2025-09-24,175.5,2025-09-26,169.5,sunrise_attack_end,1,-0.034188,-0.040038
2429,2025-06-09,74.0,2025-06-12,69.6,high_long_black,2,-0.059459,-0.065309
2429,2025-06-10,77.9,2025-06-12,69.6,high_long_black,1,-0.106547,-0.112397
2429,2025-07-29,82.5,2025-08-04,88.2,sunrise_attack_end,3,0.069091,0.063241
2429,2025-07-30,88.1,2025-08-04,88.2,sunrise_attack_end,2,0.001135,-0.004715
2440,2026-04-28,17.1,2026-05-05,17.7,sunrise_attack_end,3,0.035088,0.029238
2449,2025-12-29,245.0,2026-01-06,263.0,gap_fill,4,0.073469,0.067619
2449,2026-05-05,362.0,2026-05-07,332.5,reversal_k.bearish_engulfing,1,-0.081492,-0.087342
2451,2025-06-10,110.5,2025-06-13,104.5,gap_attack_filled,2,-0.054299,-0.060149
2451,2025-07-03,113.5,2025-07-08,103.5,reversal_k.bearish_engulfing,2,-0.088106,-0.093956
2451,2026-03-18,307.0,2026-03-20,335.0,sunrise_attack_end,1,0.091205,0.085355
2451,2026-05-12,340.0,2026-05-14,335.5,gap_attack_filled,1,-0.013235,-0.019085
2454,2026-04-21,2120.0,2026-04-24,2340.0,high_long_black,2,0.103774,0.097924
2457,2026-01-21,39.55,2026-01-26,35.3,high_long_black,2,-0.107459,-0.113309
2458,2026-05-08,151.0,2026-05-12,151.5,sunrise_attack_end,1,0.003311,-0.002539
2460,2026-04-10,34.0,2026-04-16,34.0,sunrise_attack_end,3,0.0,-0.00585
