ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_cond,hold_days,ret_pct,is_win,branches_fired
5439,2024-08-02,2024-08-05,80.6,2024-08-07,73.0,cond1_break_low,1,-9.4293,False,B1_next_day_gap_fills_up
5439,2024-08-05,2024-08-06,76.1,2024-08-13,85.7,cond3_attack_fail,5,12.615,True,B1_next_day_gap_fills_up
5439,2024-08-09,2024-08-12,82.0,2024-08-13,85.7,cond3_attack_fail,1,4.5122,True,B2_next_day_gap_filled
5439,2024-09-04,2024-09-05,88.2,2024-09-10,90.0,cond3_attack_fail,3,2.0408,True,B1_next_day_gap_fills_up
5439,2024-10-11,2024-10-14,92.5,2024-10-14,91.8,cond3_attack_fail,0,-0.7568,False,B1_next_day_gap_fills_up
5439,2025-02-03,2025-02-04,105.5,2025-02-13,119.0,cond3_attack_fail,7,12.7962,True,B1_next_day_gap_fills_up
5439,2025-03-31,2025-04-01,179.0,2025-04-08,154.0,cond1_break_low,2,-13.9665,False,B2_next_day_gap_filled
5439,2025-04-08,2025-04-09,139.0,2025-04-14,147.5,cond3_attack_fail,3,6.1151,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5439,2025-04-09,2025-04-10,152.5,2025-04-14,151.0,cond1_break_low,1,-0.9836,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5439,2025-04-11,2025-04-14,151.0,2025-04-14,147.5,cond3_attack_fail,0,-2.3179,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5439,2025-04-17,2025-04-18,137.5,2025-04-18,133.5,cond3_attack_fail,0,-2.9091,False,B2_next_day_gap_filled
5439,2025-06-13,2025-06-16,205.0,2025-06-17,206.5,cond3_attack_fail,1,0.7317,True,B2_next_day_gap_filled
5439,2025-08-20,2025-08-21,291.0,2025-08-21,282.0,cond3_attack_fail,0,-3.0928,False,B2_next_day_gap_filled
5439,2025-09-26,2025-09-30,312.0,2025-10-01,316.0,cond3_attack_fail,1,1.2821,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5439,2025-10-13,2025-10-14,310.0,2025-10-14,284.0,cond3_attack_fail,0,-8.3871,False,B2_next_day_gap_filled
5439,2025-10-17,2025-10-20,290.0,2025-10-23,273.5,cond1_break_low,2,-5.6897,False,B2_next_day_gap_filled
5439,2025-11-05,2025-11-06,349.5,2025-11-06,313.5,cond3_attack_fail,0,-10.3004,False,B2_next_day_gap_filled
5439,2025-12-16,2025-12-17,320.0,2025-12-17,313.0,cond3_attack_fail,0,-2.1875,False,B2_next_day_gap_filled
5439,2025-12-18,2025-12-19,315.5,2025-12-24,325.5,cond3_attack_fail,3,3.1696,True,B2_next_day_gap_filled
5439,2026-02-02,2026-02-03,290.0,2026-02-09,301.0,cond2_black_engulf,3,3.7931,True,B1_next_day_gap_fills_up
5439,2026-03-04,2026-03-05,272.0,2026-03-10,252.0,cond1_break_low,2,-7.3529,False,B1_next_day_gap_fills_up
5439,2026-03-11,2026-03-12,267.5,2026-03-12,264.0,cond3_attack_fail,0,-1.3084,False,B2_next_day_gap_filled
5439,2026-04-24,2026-04-27,375.0,2026-04-30,382.5,cond3_attack_fail,3,2.0,True,B2_next_day_gap_filled
5439,2026-05-13,2026-05-14,387.0,2026-05-15,391.0,cond3_attack_fail,1,1.0336,True,B2_next_day_gap_filled
5443,2024-03-11,2024-03-12,51.4,2024-03-13,51.8,cond3_attack_fail,1,0.7782,True,B2_next_day_gap_filled
5443,2024-04-19,2024-04-22,56.6,2024-04-22,52.1,cond3_attack_fail,0,-7.9505,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5443,2024-08-02,2024-08-05,88.2,2024-08-06,83.3,cond3_attack_fail,1,-5.5556,False,B2_next_day_gap_filled
5443,2024-08-05,2024-08-06,91.5,2024-08-06,83.3,cond3_attack_fail,0,-8.9617,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5443,2024-09-04,2024-09-05,146.0,2024-09-05,138.0,cond3_attack_fail,0,-5.4795,False,B2_next_day_gap_filled
5443,2025-03-03,2025-03-04,89.0,2025-03-05,92.7,cond3_attack_fail,1,4.1573,True,B1_next_day_gap_fills_up
5443,2025-03-11,2025-03-12,87.8,2025-03-13,85.7,cond3_attack_fail,1,-2.3918,False,B1_next_day_gap_fills_up
5443,2025-03-31,2025-04-01,73.8,2025-04-02,76.2,cond3_attack_fail,1,3.252,True,B1_next_day_gap_fills_up
5443,2025-04-08,2025-04-09,55.7,2025-04-21,61.1,cond3_attack_fail,8,9.6948,True,B1_next_day_gap_fills_up
5443,2025-04-09,2025-04-10,60.8,2025-04-14,60.0,cond1_break_low,1,-1.3158,False,B1_next_day_gap_fills_up
5443,2025-04-10,2025-04-11,55.9,2025-04-21,61.1,cond3_attack_fail,6,9.3023,True,B2_next_day_gap_filled
5443,2025-04-11,2025-04-14,60.0,2025-04-21,61.1,cond3_attack_fail,5,1.8333,True,B1_next_day_gap_fills_up
5443,2025-04-14,2025-04-15,65.3,2025-04-21,61.1,cond3_attack_fail,4,-6.4319,False,B2_next_day_gap_filled
5443,2025-04-23,2025-04-24,69.0,2025-04-24,67.5,cond3_attack_fail,0,-2.1739,False,B2_next_day_gap_filled
5443,2025-08-11,2025-08-12,96.4,2025-08-14,94.0,cond1_break_low,1,-2.4896,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5443,2025-10-13,2025-10-14,100.0,2025-10-14,98.6,cond3_attack_fail,0,-1.4,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5443,2025-10-17,2025-10-20,99.5,2025-10-21,98.6,cond3_attack_fail,1,-0.9045,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5443,2025-10-23,2025-10-27,97.5,2025-10-27,95.4,cond3_attack_fail,0,-2.1538,False,B2_next_day_gap_filled
5443,2025-11-05,2025-11-06,90.8,2025-11-10,90.0,cond1_break_low,1,-0.8811,False,B1_next_day_gap_fills_up
5443,2025-11-14,2025-11-17,84.5,2025-11-17,83.5,cond3_attack_fail,0,-1.1834,False,B1_next_day_gap_fills_up
5443,2025-12-18,2025-12-19,84.7,2025-12-24,86.2,cond3_attack_fail,3,1.771,True,B1_next_day_gap_fills_up
5443,2026-01-19,2026-01-20,93.9,2026-01-22,94.1,cond1_break_low,1,0.213,True,B1_next_day_gap_fills_up
