ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
6290,2026-04-23,bull,285.5,306.5,276.5,306.5,27033241,7698234.9,3.511615500327224,1.0,281.0,True,False,,,9.074733096085419,85.0,266.0,True,True,False,1.0,7.356,89.0,2
1721,2026-04-23,bull,29.4,29.95,24.7,29.95,32491516,3622208.75,8.970083792106129,1.0,27.25,False,True,,,9.908256880733934,75.0,259.0,True,True,False,1.0,1.871,79.0,3
6658,2026-04-23,bull,100.0,100.5,88.0,100.5,8313495,1840103.0,4.5179508973139,1.0,91.4,True,False,,,9.956236323851186,85.0,248.0,False,True,False,1.0,0.5,79.0,4
3483,2026-04-23,bull,101.0,101.5,95.0,101.5,8221060,869643.3,9.453370134628761,1.0,95.4,True,False,,,6.394129979035634,85.0,260.0,False,True,False,1.0,0.495,79.0,5
3338,2026-04-23,bull,85.0,85.4,78.5,85.4,20492152,2114583.85,9.690867543512166,1.0,77.7,False,True,,,9.90990990990992,75.0,265.0,False,True,False,1.0,0.471,69.0,6
8240,2026-04-23,bull,70.8,72.8,66.6,72.8,19020979,3856100.8,4.9326975581136265,1.0,68.5,True,False,,,6.277372262773717,85.0,266.0,False,True,True,1.0,2.825,69.0,7
3605,2026-04-23,bull,74.7,77.8,70.3,77.8,18887553,3029674.5,6.234185553596599,1.0,76.0,True,False,,,2.368421052631575,85.0,264.0,False,True,True,1.0,4.15,69.0,8
5536,2026-04-23,bull,920.0,955.0,903.0,949.0,4640871,2545427.95,1.823218370804799,0.8846153846153846,906.0,True,False,,,4.746136865342154,85.0,264.0,False,True,True,0.885,3.152,65.0,9
3162,2026-04-23,bull,80.1,83.9,77.6,83.9,22945755,3748299.2,6.121644451435467,1.0,76.3,False,True,,,9.960681520314552,75.0,264.0,False,True,True,1.0,4.744,59.0,10
1711,2026-04-22,bull,54.2,59.6,53.6,59.6,50378967,32615790.4,1.5446189217600566,1.0,57.9,True,False,,,2.936096718480141,85.0,264.0,True,False,False,1.0,9.963,99.0,1
8028,2026-04-22,bull,218.0,230.0,217.0,230.0,34886659,13973676.05,2.496598523908102,1.0,209.5,True,False,,,9.785202863961807,85.0,259.0,True,False,False,1.0,5.505,99.0,2
2464,2026-04-22,bull,87.4,94.7,86.6,94.0,31474322,5817977.9,5.409838700143567,0.91358024691358,90.4,True,False,,,3.9823008849557473,85.0,265.0,True,False,False,0.914,7.551,99.0,3
2340,2026-04-22,bull,42.45,42.95,41.8,42.95,26240267,6982477.7,3.7580165848578364,1.0,39.05,True,False,,,9.987195902688883,85.0,236.0,True,False,False,1.0,1.178,99.0,4
3701,2026-04-22,bull,74.7,78.6,73.1,78.6,24606502,7048286.1,3.4911326882715503,1.0,74.5,True,False,,,5.503355704697976,85.0,262.0,True,False,False,1.0,5.221,99.0,5
2454,2026-04-22,bull,2120.0,2295.0,2110.0,2295.0,24343038,11123196.3,2.1884930683098704,1.0,2090.0,True,False,,,9.808612440191379,85.0,264.0,True,False,False,1.0,8.255,99.0,6
3211,2026-04-22,bull,386.0,417.0,386.0,415.0,21027241,10892122.15,1.930499925581536,0.9354838709677419,388.0,True,False,,,6.958762886597936,85.0,264.0,True,False,False,0.935,7.513,99.0,7
1727,2026-04-22,bull,58.5,64.9,58.0,64.9,17514233,5986391.8,2.925674360304984,1.0,63.6,True,False,,,2.0440251572327206,85.0,249.0,True,False,False,1.0,10.94,99.0,8
1721,2026-04-22,bull,27.0,27.25,25.75,27.25,14634311,2978297.0,4.913650653376745,1.0,24.8,True,False,,,9.879032258064523,85.0,220.0,True,False,False,1.0,0.926,99.0,9
