ticker,trade_date,open,high,low,close,volume,short_entry,cover_signal,market_regime,ret_5d_short,ret_10d_short,ret_20d_short,ret_close_basis_5d_short,ret_close_basis_10d_short,ret_close_basis_20d_short
1722,2025-09-19,49.95,50.0,48.75,48.75,7338132,True,False,bull,-0.005065856129685908,-0.006072874493927016,0.008213552361396204,-0.012158054711246202,-0.013157894736842035,0.0010266940451744144
1722,2025-10-15,48.55,48.8,47.8,47.8,2502562,True,False,range,-0.011293634496920002,-0.007216494845360799,0.011554621848739455,-0.01848049281314179,-0.01443298969072171,0.004201680672268893
1723,2025-11-19,78.8,78.9,77.1,77.3,507610,True,False,bear,0.046008119079837595,0.08873239436619706,0.12028985507246381,0.046008119079837595,0.08873239436619706,0.12028985507246381
1723,2025-11-21,77.5,78.0,75.7,76.2,529983,True,False,bear,0.0755244755244755,0.08462623413258119,0.1342182890855459,0.06573426573426588,0.07475317348377986,0.1238938053097347
1723,2025-11-24,76.9,76.9,75.1,75.1,560147,True,False,bear,0.05329593267882182,0.07285714285714273,0.09475218658892137,0.05329593267882182,0.07285714285714273,0.09475218658892137
1723,2025-11-28,73.8,73.8,71.5,71.5,1765223,True,False,range,0.008462623413258097,0.02877697841726623,0.054572271386430726,0.008462623413258097,0.02877697841726623,0.054572271386430726
1723,2026-03-04,71.0,71.2,69.1,69.1,628361,True,False,range,0.011477761836441891,-0.049865229110512166,-0.18685121107266434,-0.008608321377331585,-0.06873315363881416,-0.2029988465974626
1725,2025-09-23,27.45,27.45,26.75,27.0,100373,True,False,bull,-0.044642857142857095,0.0018726591760300781,0.015180265654648917,-0.0357142857142857,0.011235955056179803,0.024667931688804545
1733,2025-06-13,29.35,29.5,28.8,28.85,270343,True,False,range,0.008818342151675429,0.0017513134851139256,0.041894353369763326,0.01763668430335108,0.01050788091068311,0.051001821493624755
1733,2026-01-05,30.55,30.55,29.8,29.9,314622,True,False,bull,0.0016722408026756952,0.015254237288135464,0.03993055555555558,0.0,0.013559322033898313,0.03819444444444442
1733,2026-01-30,29.7,29.7,29.1,29.15,263375,True,False,bull,-0.03482587064676612,-0.04590163934426228,-0.010204081632652962,-0.03316749585406298,-0.04426229508196722,-0.008503401360544172
1733,2026-04-23,29.7,29.7,28.75,28.8,186383,True,False,bull,0.012259194395796813,0.0194003527336859,,0.008756567425569184,0.015873015873015817,
1735,2025-09-01,15.55,15.55,15.2,15.2,60756,True,False,bull,0.013245033112582849,0.047945205479452024,0.030303030303030276,0.0066225165562914245,0.041095890410958846,0.023569023569023573
1736,2025-11-18,149.5,149.5,144.0,145.5,523223,True,False,bear,-0.07232704402515722,-0.08950617283950613,-0.019933554817275767,-0.08490566037735847,-0.10185185185185186,-0.03322259136212624
1736,2026-02-05,145.5,145.5,139.5,140.5,823479,True,False,range,-0.014285714285714235,0.06563706563706573,0.045454545454545414,0.0035714285714285587,0.084942084942085,0.06439393939393945
1736,2026-03-02,136.0,136.0,131.5,133.0,518349,True,False,bull,-0.029197080291970767,0.01526717557251911,0.08571428571428563,-0.029197080291970767,0.01526717557251911,0.08571428571428563
1736,2026-04-13,121.5,121.5,116.5,118.0,755965,True,False,bull,0.02586206896551735,-0.024590163934426257,,0.01724137931034475,-0.032786885245901676,
1736,2026-04-23,116.5,116.5,108.5,112.0,1016982,True,False,bull,-0.08606557377049184,-0.10799999999999998,,-0.08196721311475408,-0.10399999999999998,
1742,2025-07-28,15.85,15.9,15.3,15.3,210731,True,False,range,0.030100334448160515,0.030100334448160515,0.026666666666666616,0.0234113712374584,0.0234113712374584,0.020000000000000018
1742,2025-10-29,14.2,14.2,13.95,13.95,58123,True,False,bull,0.0035842293906811484,0.0,0.03703703703703698,0.0,-0.0035714285714286698,0.033333333333333215
1742,2025-10-30,14.0,14.0,13.75,13.75,32071,True,False,range,-0.01075268817204289,0.007299270072992803,0.014705882352941346,-0.014336917562723928,0.0036496350364965124,0.011029411764705843
1752,2026-04-23,35.5,35.5,34.6,34.95,85224,True,False,bull,0.0432835820895523,0.030973451327433787,,0.0432835820895523,0.030973451327433787,
1760,2025-10-03,70.6,71.0,67.6,68.8,140399,True,False,range,0.05513016845329255,0.03298350824587715,0.06656346749226016,0.05359877488514542,0.03148425787106435,0.06501547987616108
1760,2025-10-13,68.0,68.0,65.2,66.7,173435,True,False,range,0.02739726027397249,0.021180030257186067,0.06299212598425208,0.015220700152207112,0.00907715582450841,0.050393700787401574
1760,2026-02-06,63.0,63.0,60.8,61.8,187696,True,False,range,-0.019077901430842537,0.04931972789115657,0.003252032520325354,-0.01748807631160576,0.05102040816326525,0.004878048780487809
1760,2026-03-03,61.7,61.7,59.9,60.2,294007,True,False,bull,-0.01005025125628145,-0.02635914332784184,-0.04983922829581999,0.008375209380234505,-0.008237232289950547,-0.032154340836012874
1776,2025-06-26,16.25,16.25,16.0,16.0,95364,True,False,bull,0.012499999999999956,0.02857142857142847,0.041800643086816525,0.0,0.015873015873015817,0.02893890675241151
1776,2025-07-17,15.3,15.4,14.95,15.0,429024,True,False,bull,-0.02893890675241162,-0.02265372168284785,-0.041269841269841345,-0.03536977491961424,-0.029126213592232997,-0.04761904761904767
