variant,ticker,trade_date,market_regime,open,high,low,close,volume,breakout_level,stop_price_breakout,stop_price_atr14,ret_10d_net,ret_20d_net
breakout_attack_base,1301,2025-07-30,range,39.05,42.65,39.05,42.65,64585068,40.9,38.854749999999996,37.324999999999996,-0.09507363847045189,-0.0788511587485515
breakout_attack_base,1301,2025-11-12,bear,40.2,41.9,39.6,41.35,55869588,41.25,39.402,38.285714285714285,-0.05174371980676327,-0.044497342995169144
breakout_attack_base,1301,2026-01-26,bull,44.9,48.8,44.85,48.8,89416465,45.0,44.625750000000004,42.85,-0.0947171875000001,-0.0800687500000001
breakout_attack_base,1301,2026-02-25,bull,49.25,53.4,49.0,53.4,106167338,52.8,48.755,46.660714285714285,-0.13320849056603776,-0.11056698113207539
breakout_attack_base,1303,2025-07-25,range,32.35,34.2,32.0,33.65,90909520,33.0,31.84,30.785714285714285,0.06081666666666665,0.18545434782608697
breakout_attack_base,1303,2025-07-28,range,34.5,37.0,33.9,37.0,158707489,34.2,33.7305,32.510714285714286,0.06251461126005378,0.13490067024128685
breakout_attack_base,1303,2025-07-30,range,36.4,39.3,36.05,38.7,256889168,37.3,35.869749999999996,34.378571428571426,0.09492519379844958,0.1530647286821706
breakout_attack_base,1303,2025-07-31,range,38.7,41.8,37.5,40.95,200542382,39.3,37.3125,35.596428571428575,0.043144974874371876,0.07455201005025139
breakout_attack_base,1303,2025-08-18,bull,43.7,46.75,43.45,46.25,168198458,44.5,43.23275,40.703571428571436,-0.10255563230605733,-0.2088255579171094
breakout_attack_base,1303,2025-11-12,bear,46.05,49.8,44.85,49.8,174611856,47.5,44.625750000000004,42.910714285714285,-0.015539922480620173,0.18407248062015494
breakout_attack_base,1303,2025-11-13,bear,51.6,54.7,50.7,53.8,336947705,49.8,49.550999999999995,47.68214285714286,0.0728448176583493,0.14386209213051818
breakout_attack_base,1303,2025-11-14,bear,52.1,57.1,52.1,55.6,235389305,54.7,51.8395,49.76428571428571,0.022024564459930306,0.058609930313588875
breakout_attack_base,1303,2025-12-02,range,61.5,65.5,61.3,64.4,234676835,63.9,60.9935,56.885714285714286,-0.11046538461538455,-0.07969615384615378
breakout_attack_base,1303,2025-12-03,range,65.0,68.1,64.1,67.7,262513069,65.5,63.77949999999999,59.74999999999999,-0.16544004392386533,-0.17129655929721807
breakout_attack_base,1303,2026-01-16,bull,71.8,73.8,70.6,73.8,370162871,70.0,69.65,65.92142857142856,-0.0005519867549669049,0.19679900662251662
breakout_attack_base,1303,2026-01-19,bull,75.5,81.1,74.6,79.4,362661421,73.8,73.431,69.39999999999999,-0.06702021276595757,0.256118085106383
breakout_attack_base,1303,2026-01-26,bull,78.9,82.4,77.3,81.7,182958251,81.1,76.9135,72.27142857142857,-0.05463048780487809,-0.000971951219512191
breakout_attack_base,1303,2026-02-25,bull,92.2,95.4,89.0,94.9,164199594,91.4,88.55499999999999,83.16428571428571,-0.19433167539267013,-0.22260392670157067
breakout_attack_base,1304,2025-07-23,bull,10.25,10.8,10.25,10.8,5643868,10.75,10.19875,9.934285714285714,-0.047710465116279056,-0.015152325581395322
breakout_attack_base,1304,2025-07-30,range,10.6,11.35,10.6,11.15,6559660,11.0,10.546999999999999,10.164285714285715,-0.02797389380530977,-0.05452256637168149
breakout_attack_base,1304,2025-12-02,range,11.15,12.25,11.15,12.25,14590825,11.65,11.09425,10.682142857142857,-0.10466422924901184,-0.12837964426877477
breakout_attack_base,1304,2026-03-23,range,15.45,16.55,15.45,16.55,59483647,15.55,15.37275,14.435714285714285,-0.0390826283987916,-0.13878051359516616
breakout_attack_base,1305,2025-07-30,range,11.55,12.3,11.55,12.1,2719489,12.0,11.49225,11.070714285714287,-0.07523775510204075,-0.022176530612244873
breakout_attack_base,1305,2025-08-22,bull,12.2,12.75,12.15,12.65,4920053,12.3,12.08925,11.732142857142858,-0.08094881422924913,-0.09280652173913037
breakout_attack_base,1305,2026-03-19,bull,15.0,15.45,14.5,15.45,25023743,15.0,14.4275,13.45357142857143,0.05628017751479288,-0.13306893491124247
breakout_attack_base,1305,2026-03-23,range,18.0,18.45,18.0,18.45,21417417,16.95,16.86525,15.839285714285714,-0.05659626865671639,-0.14316343283582098
breakout_attack_base,1307,2026-02-25,bull,34.55,36.65,34.55,36.15,4135476,34.6,34.37725,33.482142857142854,-0.08053879668049777,-0.06117503457814664
breakout_attack_base,1308,2025-10-13,range,12.95,13.9,12.95,13.65,17324240,13.2,12.88525,12.610714285714284,-0.04234635036496346,-0.10074051094890499
breakout_attack_base,1308,2025-12-02,range,13.35,14.55,13.25,14.55,5851269,13.9,13.18375,12.678571428571429,-0.11251666666666668,-0.1291833333333333
breakout_attack_base,1308,2026-03-23,range,16.95,18.15,16.6,18.15,34177238,17.6,16.517000000000003,15.450000000000001,-0.020555882352941125,-0.10584999999999997
breakout_attack_base,1309,2025-12-02,range,11.45,12.45,11.35,12.45,3392600,11.8,11.29325,10.92142857142857,-0.10701731517509724,-0.13814571984435794
breakout_attack_base,1309,2026-03-06,bull,13.0,13.95,12.9,13.95,11050554,13.75,12.8355,12.214285714285715,0.17715653594771244,0.7261761437908495
breakout_attack_base,1309,2026-03-19,bull,16.5,17.15,16.2,17.15,16373556,16.8,16.119,15.007142857142856,0.3708078249336869,0.007412599469495928
breakout_attack_base,1312,2025-05-09,range,12.0,12.5,11.95,12.45,6806526,12.15,11.89025,11.532142857142857,-0.1699125000000001,-0.1777250000000001
breakout_attack_base,1312,2026-01-15,bull,12.85,14.1,12.75,13.75,34712317,13.6,12.68625,12.092857142857143,-0.04182122302158273,-0.07779244604316546
breakout_attack_base,1313,2025-07-16,bull,8.73,9.17,8.73,9.13,8649872,9.09,8.686350000000001,8.482857142857144,0.12406266375545841,0.0967700873362444
breakout_attack_base,1313,2025-07-17,bull,9.16,9.72,9.13,9.61,11106151,9.17,9.08435,8.852857142857143,0.06631494845360844,0.040541752577319644
breakout_attack_base,1313,2025-07-28,range,9.9,10.5,9.72,10.45,7642273,10.4,9.6714,9.269285714285715,-0.056581707317073106,0.05268658536585371
breakout_attack_base,1313,2025-08-18,bull,10.25,11.2,10.25,11.05,14973778,10.8,10.19875,9.760714285714286,-0.09918333333333337,-0.1471833333333333
