date,open,high,low,close,spread,market_ret_1d,market_open_ret
2025-03-07,22696.23,22747.11,22542.08,22576.07,-139.36,-0.006135036844999164,-0.0008452404378873624
2025-03-10,22548.98,22641.25,22407.57,22459.15,-116.92,-0.005178935040509591,-0.0011999431256193294
2025-03-11,22126.06,22140.39,21769.57,22071.09,-388.06,-0.01727848115356112,-0.01483092637076644
2025-03-12,22171.1,22391.47,22153.61,22278.36,207.27,0.009391017842798055,0.004531266919757915
2025-03-13,22403.34,22552.43,21961.68,21961.68,-316.68,-0.014214690847979883,0.005609928199382663
2025-03-14,21986.81,22074.03,21895.9,21968.05,6.37,0.0002900506700762584,0.0011442658303009168
2025-03-17,22137.53,22306.83,22110.08,22118.63,150.58,0.006854500058038893,0.007714840415967705
2025-03-18,22204.62,22327.1,22186.42,22271.67,153.04,0.006919054209053588,0.003887672970703804
2025-03-19,22245.42,22247.66,21942.69,21960.83,-310.84,-0.013956744150752765,-0.0011786273772914635
2025-03-20,22171.0,22377.26,22171.0,22377.26,416.43,0.01896239805143951,0.00957022116195061
2025-03-21,22362.38,22366.95,22200.23,22209.1,-168.16,-0.007514771692334055,-0.0006649607682083225
2025-03-24,22348.38,22380.73,22106.64,22106.64,-102.46,-0.004613424227006058,0.0062713032045425
2025-03-25,22269.37,22414.02,22228.68,22273.19,166.55,0.007533935505350309,0.0073611367444350595
2025-03-26,22327.61,22398.12,22235.89,22260.29,-12.9,-0.0005791716408829473,0.0024432961780509466
2025-03-27,22093.2,22093.2,21919.4,21951.76,-308.53,-0.013860106943800021,-0.0075061915186190875
2025-03-28,21836.16,21836.16,21525.05,21602.89,-348.87,-0.015892575356144523,-0.005266092559320867
2025-03-31,21254.63,21254.63,20695.9,20695.9,-906.99,-0.0419846603857168,-0.016120991219230274
2025-04-01,20884.53,21315.52,20884.53,21280.17,584.27,0.02823119555080944,0.009114365647302058
2025-04-02,21313.77,21390.52,21235.99,21298.22,18.05,0.0008482075096205577,0.0015789347547505717
2025-04-07,20153.57,20153.57,19212.02,19232.35,-2065.87,-0.09699730775623516,-0.053743927896321875
2025-04-08,19064.47,19064.47,18180.48,18459.95,-772.4,-0.04016149872480468,-0.00872904247270856
2025-04-09,18337.44,18371.52,17306.97,17391.76,-1068.19,-0.057865270490982,-0.006636529351379705
2025-04-10,18256.47,19024.47,18256.47,19000.03,1608.27,0.09247310220472227,0.04971952234851473
2025-04-11,18772.5,19528.77,18418.2,19528.77,528.74,0.027828377113088942,-0.01197524424961427
2025-04-14,19686.68,20023.63,19508.93,19513.09,-15.68,-0.0008029179513098228,0.008086018730314226
2025-04-15,19609.9,19895.43,19576.15,19857.67,344.58,0.017658915118005325,0.0049612849630684686
2025-04-16,19737.09,19737.09,19453.14,19468.0,-389.67,-0.01962314813369337,-0.006072212903124985
