ticker,signal_date,strength,t1_ret,t1_days,t1_stopped,t1_entry,t2_ret,t2_days,t2_stopped,t2_entry,t3_ret,t3_days,t3_stopped,t3_entry
8150,2025-11-13,10.000000000000009,0.21839080459770122,60,False,43.5,0.05742574257425748,60.0,False,50.5,0.24215246636771304,60.0,False,44.6
2451,2025-11-13,9.92366412213741,-0.09466019417475724,5,True,206.0,-0.08801955990220045,4.0,True,204.5,-0.03865979381443296,3.0,True,194.0
6127,2025-10-21,9.999999999999986,-0.1090047393364929,2,True,31.65,-0.022530329289428108,1.0,True,28.85,-0.05208333333333337,1.0,True,28.8
8271,2025-10-16,9.756097560975618,-0.14439461883408067,11,True,111.5,-0.14821428571428563,10.0,True,112.0,-0.12876712328767115,9.0,True,109.5
3189,2025-10-09,9.126984126984116,-0.06488549618320616,1,True,131.0,0.22545454545454535,60.0,False,137.5,,,,
8271,2025-10-09,9.114249037227196,0.5659679408138103,60,False,81.1,0.3483735571878279,60.0,False,95.3,0.39387539598732846,60.0,False,94.7
5289,2025-10-09,9.905020352781555,0.6349809885931559,60,False,394.5,0.5,60.0,False,412.0,0.6076923076923078,60.0,False,390.0
6584,2025-08-27,9.871244635193133,-0.12598425196850394,14,True,254.0,-0.18532110091743115,13.0,True,272.5,-0.15909090909090906,12.0,True,264.0
3653,2025-08-26,9.77653631284916,0.3410852713178294,60,False,1935.0,0.3652849740932642,60.0,False,1930.0,0.3712121212121211,60.0,False,1980.0
4722,2025-08-20,9.81308411214954,0.2844827586206897,60,False,116.0,0.3956521739130434,60.0,False,115.0,0.23553719008264462,60.0,False,121.0
3305,2025-08-19,9.567901234567898,-0.10098039215686272,1,True,102.0,,,,,,,,
5475,2025-08-14,9.932279909706557,-0.1524710830704522,5,True,47.55,-0.18585858585858595,4.0,True,49.5,-0.2879858657243817,3.0,True,56.6
4989,2025-08-14,9.90712074303406,-0.09773371104815853,6,True,35.3,-0.0534918276374442,5.0,True,33.65,-0.14381720430107525,4.0,True,37.2
6831,2025-07-11,10.843373493975903,-0.06143836010825121,1,True,173.67,-0.08929491952574609,5.0,True,174.59,,,,
2360,2025-06-26,9.554140127388532,0.43405275779376495,60,False,417.0,0.37572254335260125,60.0,False,432.5,0.3875706214689265,60.0,False,442.5
6925,2025-06-20,9.708737864077666,-0.09146341463414631,19,True,164.0,-0.1745152354570637,18.0,True,180.5,-0.11572700296735905,17.0,True,168.5
5475,2025-06-18,9.486166007905128,1.0637898686679175,60,False,26.65,1.01171875,60.0,False,25.6,0.7032967032967032,60.0,False,27.3
8210,2025-06-18,9.704142011834316,0.3822894168466522,60,False,463.0,0.2933753943217665,60.0,False,475.5,0.28936170212765955,60.0,False,470.0
5251,2025-04-25,9.836065573770504,-0.14230769230769225,4,True,52.0,-0.10799999999999998,3.0,True,50.0,-0.1861313868613138,2.0,True,54.8
5201,2025-04-15,9.090909090909085,-0.08948545861297541,34,True,44.7,-0.18273092369477906,33.0,True,49.8,-0.07289293849658307,32.0,True,43.9
