analysis_variant,ticker,trade_date,market_regime,close_pos,ret_5d_past,volume_ratio,reclaim_pct,close_vs_ma20_pct,ret_10d_net_actual,ret_20d_net_actual
tradable_filter,6643,2025-09-25,bull,0.8333333333333334,-0.07926829268292679,1.020076673547626,0.01797752808988773,-0.07823786753484585,-0.11338880266075388,-0.08899855875831483
tradable_filter,6890,2026-02-04,bull,1.0,-0.07036247334754797,1.009791040945464,0.01631701631701632,-0.08786610878661083,-0.11315593607305938,-0.22046187214611876
tradable_filter,1522,2026-02-11,range,0.1891891891891898,-0.09572301425661922,1.8876091604837006,0.0011273957158961512,-0.10443245423831382,-0.11117150776053217,-0.28855509977827054
tradable_filter,6409,2026-03-09,range,0.6181818181818182,-0.07415730337078652,1.007495090171134,0.01602959309494456,-0.0750406914744346,-0.10999201183431948,-0.13129378698224856
tradable_filter,3437,2025-11-05,range,0.8749999999999983,-0.09463722397476337,0.7737197380067614,0.0,-0.07344632768361592,-0.10823907849829348,-0.016088907849829394
tradable_filter,9914,2026-02-24,bull,0.666666666666665,-0.07032181168057217,1.1648331479878313,0.0038610038610038533,-0.09127978097512679,-0.10726206675224656,-0.1380707958921696
tradable_filter,2429,2026-02-06,range,0.7567567567567569,-0.07467532467532467,0.8952682443651641,0.010638297872340496,-0.16697113628059912,-0.10707164048865611,-0.1123072425828969
tradable_filter,2258,2026-03-13,bull,0.07692307692307272,-0.09916201117318424,2.30127482352708,0.0,-0.12631222485607863,-0.10662519379844956,-0.13608255813953482
tradable_filter,1736,2025-05-09,range,0.5,-0.07999999999999996,1.1712689760585755,0.022222222222222143,-0.06571884520528071,-0.10615395136778114,-0.10919346504559266
tradable_filter,1319,2025-06-17,range,0.5714285714285714,-0.0950413223140496,1.7834263989608108,0.0,-0.13129710432368102,-0.10584999999999997,-0.08766818181818178
tradable_filter,1623,2026-02-06,range,0.7391304347826086,-0.09146341463414631,0.3343982055387694,0.025229357798165042,-0.16790766939687274,-0.10496894273127752,-0.08734779735682816
tradable_filter,2241,2026-01-27,bull,0.6999999999999886,-0.07956104252400564,0.5420036464089134,0.007507507507507505,-0.05179113968769877,-0.10435746268656718,-0.11182014925373138
tradable_filter,6873,2025-08-01,range,0.75,-0.13211845102505693,0.5618096779354833,0.013297872340425565,-0.10594860964449138,-0.10296286089238846,-0.21844842519685034
tradable_filter,4763,2025-07-03,bull,0.9687499999999996,-0.8986607142857143,4.374200488254776,0.031818181818181746,-0.8760883211878053,-0.1023412280701754,-0.1275605263157896
tradable_filter,8059,2025-08-18,bull,0.9298245614035091,-0.11551155115511547,2.2827618370899962,0.0,-0.12116740449253971,-0.09948295880149813,0.21512378277153568
tradable_filter,2317,2026-03-09,range,0.6923076923076923,-0.11924686192468614,1.3172549734358316,0.0,-0.06110615521855478,-0.09844259259259255,-0.07297962962962964
tradable_filter,6573,2026-02-11,range,1.0,-0.07301587301587309,0.26287776957251896,0.024561403508772006,-0.06154587819379731,-0.09831575342465745,-0.06749383561643837
tradable_filter,9914,2026-02-25,bull,0.10526315789473803,-0.07748184019370452,1.2431146150464814,0.0,-0.10384570151711159,-0.09817769830949294,-0.12808667100130042
tradable_filter,8069,2026-03-09,range,0.5625,-0.15760869565217395,1.0752103179198245,0.009771986970684043,-0.11693490955704322,-0.09762215189873422,-0.065976582278481
tradable_filter,5392,2026-02-06,range,0.5588235294117636,-0.10887949260042284,0.2842493369620198,0.02058111380145289,-0.11852355309248719,-0.09602341040462423,-0.07174595375722545
tradable_filter,4763,2025-08-08,bull,1.0,-0.08767471410419325,4.572660678526323,0.03607503607503615,-0.09940420194418309,-0.09511080892608101,-0.010034100418409998
tradable_filter,5269,2025-08-18,bull,0.5454545454545454,-0.08831168831168834,0.7841750274641784,0.008620689655172376,-0.06524633821571235,-0.0941690883190883,-0.09701809116809121
tradable_filter,7799,2025-09-23,bull,0.6461538461538462,-0.17163289630512513,0.9513914847078121,0.03731343283582089,-0.1408085053776733,-0.09268068017366135,-6.128798842262081e-05
tradable_filter,6919,2025-07-23,bull,0.5357142857142857,-0.8846491228070176,5.354762333523779,0.052000000000000046,-0.8793079711807626,-0.0923161654135338,0.3287364661654134
tradable_filter,4909,2025-11-06,range,0.29999999999999716,-0.08144329896907221,1.0174361496363413,0.004509582863585049,-0.09090909090909105,-0.09197975391498889,-0.06401554809843399
tradable_filter,8044,2026-03-06,bull,0.6999999999999993,-0.07719298245614037,0.48124405658513897,0.025341130604288553,-0.05327573794096474,-0.09116746031746023,-0.12688174603174604
tradable_filter,4927,2025-10-15,range,0.5999999999999991,-0.13988657844990549,0.4658933208132288,0.004415011037527616,-0.11469987352855338,-0.09081732026143782,0.026829738562091608
tradable_filter,3708,2025-11-19,bear,1.0,-0.13725490196078427,0.6581835197650872,0.037735849056603765,-0.07814791535721766,-0.08955044052863434,-0.058713436123347985
tradable_filter,3048,2026-02-06,range,0.5833333333333318,-0.08217446270543616,0.3825118258744836,0.004149377593360981,-0.09493236925762027,-0.08873770053475935,0.09976497326203218
tradable_filter,5314,2026-03-05,range,0.2631578947368423,-0.11899563318777284,0.5638204423274195,0.011278195488721776,-0.11396574440052698,-0.08804178082191769,-0.06811650062266503
tradable_filter,6643,2025-09-26,range,0.7391304347826086,-0.08775510204081638,1.359117542877301,0.009029345372460584,-0.08439164276935684,-0.08752770419426045,-0.1018764900662252
tradable_filter,6245,2025-11-07,range,0.18181818181818535,-0.07187112763320935,0.9730972848586861,0.0013368983957220415,-0.05183872396987155,-0.08511023778071333,-0.053406142668428115
tradable_next_close_confirm,6550,2026-03-09,range,0.7142857142857143,-0.0938967136150235,0.9039697633039196,0.006956521739130306,-0.06905699815097688,-0.3227991525423729,-0.35839237288135595
tradable_next_close_confirm,4174,2025-04-11,bear,0.6666666666666666,-0.24354838709677418,1.7010814349363579,0.017353579175704903,-0.19026243093922657,-0.24506971252566742,-0.21837566735112943
tradable_next_close_confirm,2348,2025-06-09,range,0.4,-0.092741935483871,3.1114865257608515,0.0,-0.09927942353883112,-0.15692296137339054,-0.12172982832618026
tradable_next_close_confirm,1736,2025-05-09,range,0.5,-0.07999999999999996,1.1712689760585755,0.022222222222222143,-0.06571884520528071,-0.13269365781710915,-0.14154321533923306
tradable_next_close_confirm,6415,2025-11-05,range,0.6,-0.08695652173913049,1.1589510152485551,0.012048192771084265,-0.09638554216867468,-0.13257811059907829,-0.015066589861751113
tradable_next_close_confirm,8932,2026-03-10,range,0.20238095238095258,-0.5224274406332454,1.647629612346718,0.007795100222717233,-0.5125629493981095,-0.13085,-0.1621
