group,ticker,trade_date,market_regime,open,high,low,close,volume,ret_10d_net,ret_20d_net,ret_close_basis_10d,ret_close_basis_20d
next_not_low_open,2727,2026-03-24,range,227.0,233.0,225.0,233.0,1576429,-0.03143635394456288,-0.04849392324093813,-0.01931330472102999,-0.03648068669527893
next_not_low_open,6672,2026-03-24,range,127.0,129.5,123.0,129.5,11119504,0.17876538461538463,0.46722692307692315,0.18918918918918926,0.4787644787644787
next_not_low_open,1532,2025-11-26,bear,27.3,27.95,27.1,27.95,1731260,-0.04663014184397161,-0.05726843971631199,-0.03220035778175312,-0.04293381037567079
next_not_low_open,2368,2025-11-26,bear,600.0,614.0,582.0,610.0,23847965,-0.013901529790660262,0.06983438003220602,0.009836065573770592,0.09508196721311468
next_not_low_open,3081,2025-11-26,bear,489.5,528.0,484.0,528.0,10116404,0.11377616822429917,0.12312196261682243,0.13446969696969702,0.14393939393939403
next_not_low_open,3163,2025-11-26,bear,256.5,276.5,254.5,276.5,27482718,0.32748333333333324,0.3448444444444444,0.3887884267631103,0.40687160940325495
next_not_low_open,4577,2025-11-26,bear,55.7,57.5,53.0,57.5,12686213,-0.01404672131147542,-0.10748934426229514,0.05217391304347818,-0.04695652173913045
next_not_low_open,4903,2025-11-26,bear,38.15,39.95,38.0,39.95,20541456,0.1624426829268292,0.16975975609756114,0.19899874843554421,0.20650813516896127
next_not_low_open,6203,2025-11-26,bear,85.5,87.0,84.5,86.9,1484801,-0.17479977168949765,-0.2284527397260274,-0.1622554660529345,-0.21634062140391264
next_not_low_open,1727,2025-11-25,bear,41.75,44.25,41.3,44.25,16065720,-0.16380206971677555,0.033365686274509886,-0.12655367231638426,0.07796610169491536
next_not_low_open,2006,2025-11-25,bear,65.9,67.2,65.6,67.0,7544493,0.03563148148148145,-0.05473888888888887,0.04925373134328348,-0.04179104477611939
next_not_low_open,2211,2025-11-25,bear,117.0,121.5,116.0,121.0,3361936,-0.04304008264462809,-0.16287479338842978,-0.037190082644628086,-0.15702479338842978
next_not_low_open,2368,2025-11-25,bear,556.0,594.0,555.0,594.0,21699345,-0.01251666666666671,0.07914999999999997,0.0033670033670034627,0.09595959595959602
next_not_low_open,2413,2025-11-25,bear,27.8,28.65,27.55,28.65,8667481,0.03124949409780777,0.2420420741989883,0.0732984293193717,0.29144851657940674
next_not_low_open,2889,2025-11-25,bear,16.2,16.3,16.15,16.3,7639790,-0.0028012195121950084,-0.0028012195121950084,0.009202453987730008,0.009202453987730008
next_not_low_open,3105,2025-11-25,bear,131.5,134.0,128.0,134.0,24920104,0.18700714285714284,0.3405785714285715,0.24626865671641784,0.40671641791044766
next_not_low_open,3443,2025-11-25,bear,2055.0,2175.0,2030.0,2175.0,6955259,-0.03566651376146788,-0.07695091743119262,-0.02758620689655178,-0.06896551724137934
next_not_low_open,4745,2025-11-25,bear,21.8,23.75,21.1,23.75,2618184,0.06283686868686869,0.07091767676767682,0.11368421052631583,0.12210526315789472
next_not_low_open,4939,2025-11-25,bear,29.3,30.85,28.95,30.85,29066598,0.19845107526881747,0.19077058371735803,0.27066450567260936,0.2625607779578607
next_not_low_open,8390,2025-11-25,bear,83.0,84.4,79.6,83.5,4940717,-0.008230952380952374,0.040578571428571485,0.003592814371257358,0.052694610778443174
next_not_low_open,2211,2025-11-24,bear,115.0,117.5,113.0,116.5,2238178,0.024064529914529807,-0.12550811965811967,0.03433476394849788,-0.11587982832618027
next_not_low_open,6425,2025-11-24,bear,69.9,75.3,69.9,75.3,3151959,0.03311103896103886,0.20453961038961035,0.062416998671978696,0.23771580345285526
next_not_low_open,8042,2025-11-24,bear,55.0,55.9,52.2,55.9,43615331,-0.02123461538461533,-0.08790128205128198,0.030411449016100267,-0.03935599284436486
next_not_low_open,8390,2025-11-24,bear,79.0,82.8,78.4,82.7,4524055,-0.00585,0.03270421686746996,0.0036275695284160303,0.042321644498186206
next_not_low_open,6442,2025-11-21,bear,1055.0,1145.0,1050.0,1120.0,7972476,-0.0016127118644067911,-0.027036440677966157,0.05803571428571419,0.03125
next_not_low_open,6890,2025-11-21,bear,241.5,264.0,238.5,264.0,5058026,0.023240909090909055,-0.0822136363636364,0.07196969696969702,-0.037878787878787845
next_not_low_open,8043,2025-11-21,bear,75.0,80.5,74.8,80.5,46689545,-0.022799152542372837,-0.11432457627118639,0.08074534161490687,-0.019875776397515477
next_not_low_open,8048,2025-11-21,bear,60.0,63.1,59.3,63.1,11433863,-0.07793588957055217,-0.1346843558282209,-0.04120443740095092,-0.09984152139461178
next_not_low_open,2832,2025-11-20,bear,49.95,51.9,49.8,51.3,766584,0.005845906432748648,-0.019495224171539906,0.011695906432748648,-0.013645224171539905
next_not_low_open,8048,2025-11-20,bear,55.3,58.8,54.2,58.8,3334261,-0.007516666666666705,-0.03918333333333333,0.018707482993197244,-0.013605442176870652
next_not_low_open,2413,2025-11-19,bear,23.3,25.1,22.5,25.1,17128973,0.041319811320754816,0.2054707547169811,0.1055776892430278,0.2788844621513944
next_not_low_open,3624,2025-11-19,bear,49.15,52.3,48.9,52.3,21097828,-0.11556223021582732,-0.03102985611510787,-0.053537284894837445,0.03632887189292555
next_not_low_open,1907,2025-11-17,bear,27.0,27.5,26.9,27.5,1799829,0.0032409090909090383,-0.04585000000000004,0.009090909090909038,-0.040000000000000036
next_not_low_open,2486,2025-11-17,bear,95.4,100.5,95.4,100.5,9536682,-0.0446559701492538,-0.08445696517412946,-0.0388059701492538,-0.07860696517412946
next_not_low_open,2731,2025-11-17,bear,175.5,184.0,175.5,182.5,3563287,-0.0825623287671233,-0.11269931506849315,-0.0767123287671233,-0.10684931506849316
next_low_open,2360,2026-04-17,bull,2000.0,2255.0,2000.0,2255.0,5889788,0.11279406779661008,,0.024390243902439046,
next_low_open,2474,2026-04-17,bull,203.5,217.0,203.5,217.0,9603529,-0.0291600233100233,,-0.03456221198156684,
next_low_open,2481,2026-04-17,bull,108.5,118.0,107.5,118.0,48725665,-0.13889347826086948,,-0.1550847457627118,
next_low_open,3031,2026-04-17,bull,32.9,33.6,32.05,33.2,9669334,-0.049789393939393946,,-0.049698795180722954,
next_low_open,3339,2026-04-17,bull,63.0,69.3,62.5,69.3,14120962,-0.10359436090225568,,-0.1341991341991342,
next_low_open,3587,2026-04-17,bull,343.5,367.0,340.5,367.0,7123348,-0.07895344827586201,,-0.08446866485013627,
next_low_open,4904,2026-04-17,bull,96.3,97.4,95.8,97.4,7918873,-0.031676446280991734,,-0.03182751540041073,
next_low_open,5340,2026-04-17,bull,123.0,137.0,121.0,134.0,41978625,-0.0816075757575758,,-0.08955223880597019,
next_low_open,8215,2026-04-17,bull,27.3,29.25,27.15,29.25,6467593,-0.11138633217993074,,-0.11623931623931616,
next_low_open,2460,2026-04-16,bull,34.0,37.75,32.2,37.3,4369127,-0.027707923497267896,,-0.04021447721179627,
next_low_open,3221,2026-04-16,bull,42.05,45.7,41.8,45.7,21112481,-0.06512552140504932,,-0.06236323851203507,
next_low_open,3443,2026-04-16,bull,3165.0,3375.0,3140.0,3345.0,4238415,0.2695991017964071,,0.2735426008968609,
next_low_open,3645,2026-04-16,bull,93.3,102.5,87.5,100.5,40776749,0.039376130653266415,,0.03482587064676612,
next_low_open,4989,2026-04-16,bull,98.6,107.0,93.1,105.0,63862894,0.096589024390244,,0.07619047619047614,
next_low_open,6456,2026-04-16,bull,70.2,77.1,65.1,76.8,50429597,0.010150000000000013,,-0.007812499999999889,
next_low_open,6488,2026-04-16,bull,518.0,543.0,503.0,540.0,8129658,0.08029232209737827,,0.07407407407407418,
next_low_open,1785,2026-04-15,bull,135.0,142.0,126.5,140.0,85572116,0.25501956521739133,,0.24285714285714288,
next_low_open,2460,2026-04-15,bull,34.45,35.5,33.25,35.3,2489397,0.08532647058823542,,0.05099150141643083,
next_low_open,2495,2026-04-15,bull,41.1,45.2,40.15,45.2,25800472,-0.09178749999999988,,-0.09402654867256632,
next_low_open,3031,2026-04-15,bull,31.5,33.1,30.25,32.35,18276231,0.032124683544303555,,0.013910355486862258,
next_low_open,4720,2026-04-15,bull,20.0,22.15,19.9,22.15,15210771,0.2827863636363638,,0.27990970654627545,
next_low_open,6175,2026-04-15,bull,58.6,62.4,56.8,62.4,14315312,0.01834354838709675,,0.017628205128205066,
next_low_open,6187,2026-04-15,bull,1055.0,1135.0,1000.0,1135.0,9046127,-0.032398672566371724,,-0.03083700440528636,
next_low_open,6196,2026-04-15,bull,338.0,360.0,334.0,353.0,4787408,0.07140321888412018,,0.06657223796033995,
next_low_open,6224,2026-04-15,bull,54.5,57.8,53.3,57.7,4102755,0.2086954545454546,,0.15771230502599654,
next_low_open,8155,2026-04-15,bull,343.0,358.5,340.0,358.5,4495843,0.21555762463343112,,0.1617852161785216,
next_low_open,4720,2026-04-14,bull,19.3,20.65,18.8,20.55,15447653,0.36665000000000003,,0.33576642335766405,
next_low_open,6234,2026-04-14,bull,32.65,34.35,31.55,34.35,5011043,0.27192777777777766,,0.27219796215429404,
next_low_open,2305,2026-04-13,bull,19.4,19.9,19.05,19.8,9885851,-0.18201580310880824,,-0.19696969696969702,
next_low_open,3234,2026-04-13,bull,115.0,125.0,112.0,124.5,8894721,-0.17388278688524592,,-0.18473895582329314,
next_low_open,4566,2026-04-13,bull,67.0,73.0,66.2,71.2,8784002,-0.11148380281690137,,-0.1081460674157304,
next_low_open,6218,2026-04-13,bull,35.75,39.0,35.55,38.4,8904594,-0.15058684210526316,,-0.15364583333333326,
next_low_open,6426,2026-04-13,bull,211.0,216.5,209.5,216.5,4055563,-0.029659523809523837,,-0.053117782909930744,
next_low_open,4720,2026-04-09,bull,18.6,20.1,18.35,19.7,9618325,0.2645581632653059,,0.26395939086294407,
next_low_open,1905,2026-03-31,range,17.95,18.55,17.7,18.55,39064303,-0.13159850299401196,-0.22740688622754487,-0.21293800539083563,-0.2991913746630728
next_low_open,2231,2026-03-30,range,125.5,137.5,125.5,137.5,6351614,-0.13723686131386856,-0.12628795620437958,-0.13454545454545452,-0.12363636363636366
next_low_open,2243,2026-03-30,range,20.1,22.9,20.1,22.9,1658158,0.01859444444444449,0.24748333333333342,0.0065502183406114245,0.23144104803493448
next_low_open,3105,2026-03-30,range,373.0,397.5,358.5,390.5,52926924,0.19280771812080535,0.34180100671140934,0.14340588988476322,0.28553137003841234
next_low_open,4971,2026-03-30,range,588.0,635.0,580.0,635.0,13939527,0.1107345648604269,0.23717134646962226,0.07086614173228356,0.19212598425196847
next_low_open,6588,2026-03-30,range,121.0,129.5,115.5,129.5,14023610,0.134775,0.0644625,0.12741312741312738,0.05791505791505802
next_low_open,6683,2026-03-30,range,1460.0,1520.0,1280.0,1520.0,3490179,0.26325299003322267,0.2798642857142858,0.256578947368421,0.2730263157894737
next_low_open,1305,2026-03-23,range,18.0,18.45,18.0,18.45,21417417,-0.05659626865671639,-0.14316343283582098,-0.1382113821138211,-0.21680216802168017
next_low_open,1308,2026-03-23,range,16.95,18.15,16.6,18.15,34177238,-0.020555882352941125,-0.10584999999999997,-0.07713498622589521,-0.15702479338842967
next_low_open,7711,2026-03-23,range,273.0,288.5,266.0,288.5,2380849,0.014983333333333258,0.16949722222222233,0.01906412478336228,0.173310225303293
next_low_open,3653,2026-03-10,range,3450.0,3495.0,3360.0,3495.0,2743045,0.13084064748201443,0.21429388489208626,0.1301859799713876,0.21316165951359078
