ticker,name,season,side,entry_date,entry_close,exit_date,exit_close,exit_reason,days_held,return_pct,censored,max_dd_pct,kline_k1,kline_k2,kline_any
4526,東台,立夏,long,2026-04-30,36.75,2026-05-04,37.5,season_change,4,2.0408163265306123,False,-5.986394557823137,False,False,False
4541,晟田,立夏,long,2026-01-09,45.65,2026-01-22,47.7,season_change,13,4.490690032858717,False,-2.6286966046002096,False,False,False
4541,晟田,盛夏,long,2026-01-12,47.75,2026-01-22,47.7,season_change,10,-0.1047120418848108,False,-4.92146596858639,False,False,False
4556,旭然,秋,short,2026-04-17,32.75,2026-04-20,32.0,season_change,3,2.2900763358778624,False,-5.1908396946564865,False,False,False
4561,健椿,立夏,long,2026-01-16,36.2,2026-01-20,43.7,season_change,4,20.718232044198892,False,-8.425414364640895,False,False,False
4561,健椿,盛夏,long,2026-01-19,39.8,2026-01-20,43.7,season_change,1,9.798994974874386,False,-9.045226130653253,True,False,True
4561,健椿,立夏,long,2026-04-15,38.25,2026-04-16,37.4,season_change,1,-2.222222222222226,False,-4.57516339869281,False,False,False
4711,永純,立夏,long,2026-03-16,16.5,2026-03-17,17.35,season_change,1,5.15151515151516,False,-7.878787878787883,False,False,False
4722,國精化,秋,short,2026-01-20,169.5,2026-01-21,169.5,season_change,1,0.0,False,-5.604719764011799,False,False,False
4722,國精化,秋,short,2026-04-14,183.0,2026-04-16,177.0,season_change,2,3.278688524590164,False,-8.19672131147541,False,False,False
4743,合一,立夏,long,2026-05-05,56.7,2026-05-06,54.1,season_change,1,-4.585537918871255,False,-4.585537918871255,False,False,False
4768,晶呈科技,秋,short,2026-04-08,478.0,2026-04-09,469.0,season_change,1,1.882845188284519,False,-7.426778242677824,False,False,False
4770,上品,立夏,long,2026-03-11,258.5,2026-03-12,266.0,season_change,1,2.9013539651837523,False,-6.189555125725339,False,False,False
4903,聯光通,秋,short,2026-05-13,47.45,2026-05-14,49.9,new_high,1,-5.163329820864058,False,-9.589041095890419,False,False,False
4906,正文,立夏,long,2026-03-17,31.6,2026-03-23,31.3,trailing_stop,6,-0.9493670886075972,False,-3.481012658227853,False,False,False
4906,正文,盛夏,long,2026-03-18,33.45,2026-03-25,33.3,season_change,7,-0.4484304932735596,False,-10.313901345291487,False,False,False
4952,凌通,立夏,long,2026-04-21,48.65,2026-04-23,52.0,season_change,2,6.885919835560126,False,-8.735868448098664,False,False,False
4952,凌通,盛夏,long,2026-04-22,53.5,2026-04-23,52.0,season_change,1,-2.803738317757009,False,-8.691588785046726,False,False,False
4956,光鋐,立夏,long,2026-01-30,23.3,2026-02-02,22.4,season_change,3,-3.862660944206018,False,-7.081545064377691,False,False,False
4979,華星光,秋,short,2026-01-28,322.0,2026-01-29,334.5,new_high,1,-3.881987577639751,False,-7.453416149068323,False,False,False
4989,榮科,秋,short,2026-04-08,69.3,2026-04-09,73.4,new_high,1,-5.916305916305928,False,-6.204906204906202,False,False,False
5007,三星,春,long,2026-05-13,58.0,2026-05-14,57.0,season_change,1,-1.7241379310344829,False,-3.4482758620689653,False,False,False
5009,榮剛,立夏,long,2026-05-05,34.8,2026-05-14,37.5,trailing_stop,9,7.758620689655181,False,-4.022988505747123,False,False,False
5236,凌陽創新,立夏,long,2026-04-08,140.5,2026-04-23,168.0,season_change,15,19.572953736654807,False,-4.98220640569395,False,False,False
5312,寶島科,春,long,2026-05-13,96.4,2026-05-14,94.7,season_change,1,-1.763485477178426,False,-2.2821576763485503,False,False,False
5328,華容,秋,short,2026-03-16,27.85,2026-03-17,28.8,new_high,1,-3.411131059245958,False,-4.847396768402159,False,False,False
5328,華容,秋,short,2026-04-28,25.95,2026-04-30,24.55,season_change,2,5.394990366088627,False,-8.28516377649325,False,False,False
5425,台半,立夏,long,2026-01-13,65.8,2026-01-20,69.6,season_change,7,5.775075987841941,False,-10.334346504559267,False,False,False
5425,台半,盛夏,long,2026-01-14,65.6,2026-01-20,69.6,season_change,6,6.097560975609757,False,-3.963414634146333,False,False,False
5434,崇越,立夏,long,2026-04-07,360.5,2026-04-27,407.0,trailing_stop,20,12.89875173370319,False,-7.766990291262135,False,False,False
5483,中美晶,立夏,long,2026-03-18,129.0,2026-03-19,124.0,season_change,1,-3.875968992248062,False,-8.13953488372093,False,False,False
5706,鳳凰,春,long,2026-05-13,50.5,2026-05-14,50.3,season_change,1,-0.3960396039604016,False,-0.5940594059405885,False,False,False
5904,寶雅,立夏,long,2026-04-21,543.0,2026-05-11,577.0,season_change,20,6.261510128913445,False,-4.788213627992634,False,False,False
6016,康和證,立夏,long,2026-01-06,13.75,2026-02-05,16.15,season_change,30,17.454545454545446,False,-4.72727272727273,False,False,False
6104,創惟,立夏,long,2026-04-22,104.0,2026-04-23,98.0,season_change,1,-5.769230769230769,False,-9.32692307692308,False,False,False
6113,亞矽,立夏,long,2026-04-15,23.9,2026-04-17,22.9,season_change,2,-4.1841004184100425,False,-7.112970711297069,False,False,False
6115,鎰勝,春,long,2026-05-13,47.25,2026-05-14,47.0,season_change,1,-0.5291005291005291,False,-0.5291005291005291,False,False,False
6129,普誠,立夏,long,2026-01-09,14.95,2026-01-12,14.9,season_change,3,-0.3344481605351099,False,-5.016722408026756,False,False,False
6129,普誠,立夏,long,2026-03-18,17.6,2026-03-24,15.5,season_change,6,-11.931818181818189,False,-13.636363636363647,False,False,False
6129,普誠,盛夏,long,2026-03-19,16.95,2026-03-24,15.5,season_change,5,-8.554572271386427,False,-10.32448377581121,False,False,False
6167,久正,立夏,long,2026-03-13,13.2,2026-03-18,16.4,season_change,5,24.24242424242424,False,-9.090909090909086,False,False,False
6167,久正,盛夏,long,2026-03-16,14.5,2026-03-18,16.4,season_change,2,13.10344827586206,False,-3.4482758620689653,False,False,False
6188,廣明,立夏,long,2025-12-30,110.5,2025-12-31,107.0,season_change,1,-3.167420814479638,False,-5.429864253393665,False,False,False
6189,豐藝,立夏,long,2026-02-02,48.2,2026-02-03,51.7,season_change,1,7.261410788381742,False,-6.639004149377599,True,False,True
6206,飛捷,立夏,long,2026-03-10,101.5,2026-03-16,103.5,season_change,6,1.9704433497536944,False,-4.433497536945813,False,False,False
6209,今國光,秋,short,2026-02-06,60.2,2026-02-11,58.3,season_change,5,3.156146179402003,False,-4.817275747508315,False,False,False
6215,和椿,立夏,long,2026-01-14,114.5,2026-01-16,119.0,season_change,2,3.930131004366813,False,-6.986899563318777,False,False,False
6216,居易,立夏,long,2026-01-14,29.15,2026-01-21,28.15,season_change,7,-3.430531732418525,False,-8.747855917667229,False,False,False
6246,臺龍,立夏,long,2026-05-04,18.0,2026-05-05,17.05,season_change,1,-5.277777777777773,False,-5.555555555555555,False,False,False
6257,矽格,秋,short,2026-03-11,131.5,2026-03-16,130.0,season_change,5,1.1406844106463878,False,-3.4220532319391634,False,False,False
6261,久元,立夏,long,2026-04-07,79.2,2026-04-23,95.0,season_change,16,19.949494949494945,False,-7.828282828282831,False,False,False
6270,倍微,立夏,long,2026-03-25,27.7,2026-03-26,26.1,season_change,1,-5.776173285198548,False,-8.12274368231047,False,False,False
